mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
567046600,7804900,HSBX,14,101.26,0,1,2966,0,1,3514,FFA,Thailand
567175000,7727102,HSB2700,13,81.73,,1,2285,,1,2468,CLAV,Thailand
567183000,7727097,HSB2719,13,81.73,,1,2285,,1,2448,CLAV,Thailand
567231000,7637589,HSB2993,15,101.93,0,1,2989,0,1,2510,CLAV,Thailand
567266000,7637565,HSB3066,14,101.93,0,1,2989,0,1,3550,CLAV,Thailand
567492000,7721067,HSB4886,14,96.45,0,1,2689,0,1,3439,CLAV,Thailand
576107000,9453418,3EQX2,16.6,120.75,0,1,4538,0,1,4867,CLAV,Vanuatu
576139000,9314612,H3CN,16.6,120.75,0,1,4522,0,1,4909,CLAV,Vanuatu
576195000,8226739,YJVT7,23,172.12,0,1,13506,0,1,13223,encounters,Vanuatu
576270000,9293313,3EYH9,17,113.37,0,1,4521,0,1,5020,CLAV,Vanuatu
576274000,8920024,DUG9197,13,85.07,0,1,1888,0,1,1750,CLAV,Vanuatu
576276000,9240281,HPEF,16,99.5,0,1,3822,0,1,3966,CLAV,Vanuatu
576277000,9186936,YJQA5,14,95.92,0,1,2781,0,1,2920,CLAV,Vanuatu
576285000,9003158,YJQD7,15.7,105.37,0,1,3516.8,4.91934955,2,4167,CLAV,Vanuatu
576328000,9620384,D5JO9,17,99.06,0,1,3989,0,1,4218,CLAV,Vanuatu
576395000,9172909,D8DK,15,90.27,2.383950503,3,2713,0,1,3046,CLAV,Vanuatu
576397000,8909680,S7OJ,14,94.5,1.609968944,2,2600,0,1,2812,CLAV,Vanuatu
576414000,9128764,D5LC4,16,94.65,0,1,3496,0,1,3959,CLAV,Vanuatu
576414009,9128764,D5LC4,16,94,0,1,3496,0,1,3959,CLAV,Vanuatu
576419000,9071583,D5JO8,16,106.86,0,1,3802,0,1,4211,CLAV,Vanuatu
576420000,9140097,D5KD3,15,91.48,0,1,2717,0,1,3050,CLAV,Vanuatu
576507000,9194919,D7NG,17,99.08,3.81,2,3818.5,1,2,4181,CLAV,Vanuatu
576626000,9054858,UBOI9,15,94,0,1,2707,0,1,3953,CLAV,Vanuatu
576687000,9105293,D5KG4,15,88.94,0,1,2581,0,1,2396,CLAV,Vanuatu
576688000,8807442,YJQK2,21,141.58,0,1,8519,0,1,8830,CLAV,Vanuatu
576689000,8916748,YJQK7,21,141,0,1,8483,0,1,8946,CLAV,Vanuatu
576711000,8710340,YJQN2,21,141.58,0,1,8519,0,1,8800,CLAV,Vanuatu
576728000,9048603,YJQP3,17,94.32,0,1,3431,0,1,3952,CLAV,Vanuatu
576732000,9194892,D5KN7,17,100.98,0,1,3936,0,1,4250,CLAV,Vanuatu
577077000,9459591,D5KS2,17,98.28,0,1,3858,0,1,4393,CLAV,Vanuatu
577082000,8223311,YJRZ7,17,107.88,0,1,4394,0,1,4942,CLAV,Vanuatu
577089000,9163439,D7MZ,16.8,120.12,,1,4643,,1,2695,CLAV,Vanuatu
577102000,9241932,3EHZ8,17,120.76,0.02236068,2,4521,0,1,5035,CLAV,Vanuatu
577105000,9133305,YJTA9,17,120.75,0,1,4741.17,554.92499,2,5057,CLAV,Vanuatu
577106000,9133317,YJTB3,17,117.8,4.042192474,2,4490,0,1,5080,CLAV,Vanuatu
577122000,9666481,3ELC8,20.2,134.15,0,1,6558,0,1,7314,CLAV,Vanuatu
577132000,9666493,D5JI4,20,134.16,0.020412415,2,6558,0,1,7303,CLAV,Vanuatu
577161000,9684067,YJTH9,15,96.94,0,1,3350,0,1,3356,CLAV,Vanuatu
577169000,8710728,7JTK,18,122.74,3.376462646,2,4969,0,1,6374,CLAV,Vanuatu
577310000,9172442,3FOZ8,,88,,,3683,,,,ICCAT,Vanuatu
577314000,8919893,HODS,16,120,0,1,4574,0,1,5517,FFA,Vanuatu
577315000,8609979,3EFA6,19,124,0,1,4963,0,1,6553,FFA,Vanuatu
577324000,9008639,YJUT4,17,120.7,0,1,4430,0,1,5134,FFA,Vanuatu
616735000,7813925,D6EU2,12,90.79,0,1,2004,0,1,1815,encounters,Comoros
616852000,8300949,D6FJ2,13,84.51,0,1,2028,0,1,2458,encounters,Comoros
627047000,8323604,9GII,16,93.8,,1,2829,,1,3988,CLAV,Ghana
627084000,9140102,9GRG,15,91,0,1,2716,0,1,3043,CLAV,Ghana
627093246,9140102,9GRG,13,91.62,0.330681115,2,2856.5,344.1533089,2,3043,CLAV,Ghana
636008972,8911102,ELLM5,22,144.03,0,1,8818,0,1,9683,ITU,Liberia
636009737,9014793,ELPE2,19,126,0,1,6082,0,1,5078,CLAV,Liberia
636010125,8916229,ELRD7,19,146.29,0,1,7089,0,1,7242,encounters,Liberia
636011004,9051789,D7AX,19,126,0,1,6082,0,1,7179,CLAV,Liberia
636011904,9539858,9HA2125,17,110,0,1,4908,0,1,6995,CLAV,Liberia
636012261,8801802,A8EJ6,21,141,0,1,8487,0,1,9734,CLAV,Liberia
636012747,9017276,3FFY5,22.6,144.4,8.343860018,2,10629,0,1,10582,CLAV,Liberia
636012748,8906975,A8HP5,23,150.3,0,1,10629,0,1,10581,ITU,Liberia
636012749,8814299,D5LN5,22,150,0,1,10629,0,1,10581,encounters,Liberia
636012750,9017264,3FNJ,23,138.5,,1,10629,,1,10587,CLAV,Liberia
636013068,9150810,A8KJ7,24,184.8,0,1,15058,0,1,14726,ITU,Liberia
636013070,8713550,A8KJ9,24,158.53,0,1,11590,0,1,12519,ITU,Liberia
636013073,9150822,A8KK4,24,154,0,1,15058,0,1,14726,ITU,Liberia
636013146,9019652,A8KY9,21,148.8,0,1,9074,0,1,11581,ITU,Liberia
636013523,9072824,3EJD5,21,132,0,1,7313,0,1,7957,CLAV,Liberia
636013524,9045156,3EAJ9,21,125,0,1,7303,0,1,8056,CLAV,Liberia
636013648,8807662,3EHL5,21,140,0,1,9072,0,1,11438,CLAV,Liberia
636013649,8907888,A8OL4,21,148.52,0,1,9070,0,1,11633,CLAV,Liberia
636013651,8920141,A8OL6,21,148,0,1,9070,0,1,11540,encounters,Liberia
636013976,8813623,DSRO7,18,124.7,0,1,5476,0,1,6756,ITU,Liberia
636014105,8807466,3FAR4,18,125,0,1,4988,0,1,6514,CLAV,Liberia
636014471,9016973,A8UC4,22,152.14,0,1,12413,0,1,10984,CLAV,Liberia
636014596,9078476,A8VE9,20,134.01,0,1,5994,0,1,7255,ITU,Liberia
636014597,9078488,A8VF2,20,134.01,0,1,5994,0,1,7252,ITU,Liberia
636014655,9454759,A8VR5,25,165,0,1,14091,0,1,15609,ITU,Liberia
636015528,9073268,A8OE7,20,136.9,0,1,7533,0,1,8383,encounters,Liberia
636015625,9189902,D5BX4,22,144.52,0,1,9649,0,1,11788,ITU,Liberia
636015811,9181156,D5CY5,22,149.92,0,1,9859,0,1,10114,ITU,Liberia
636015904,9181144,D5DK5,22,149.92,0,1,9859,0,1,10114,ITU,Liberia
636016166,8909070,ELUA3,23,156,0,1,10842,0,1,12942,ITU,Liberia
636016167,8802090,ELWR5,23,156,0,1,10842,0,1,12942,ITU,Liberia
636016249,9038945,D5FF5,20,151,0,1,8665,0,1,11793,ITU,Liberia
636016280,9038488,D5BR9,23,150.01,0,1,10402,0,1,10621,ITU,Liberia
