mmsi,inferred,known
10000000,Tanker,
10101010,Tug,
10421670,Purse seines,Purse seines
10500794,Seismic vessel,
10537090,Tanker,
10772765,Cargo,
11064272,Drifting longlines,
11075586,Set gillnets,
11104032,Tanker,
11111111,Purse seines,
11130000,Tug,
11139751,Reefer,
11468802,Tug,
11497613,Cargo,
11516680,Cargo,
11518760,Cargo,
11520716,Set longlines,
11572680,Tanker,
11599670,Sailing,
11982595,Cargo,
12051028,Set longlines,
12259361,Tanker,
12345678,Purse seines,
12430662,Cargo,
12506184,Cargo,
12899869,Tanker,
13060452,Tug,
13070620,Trawlers,
13071506,Sailing,
13072402,Trawlers,
13072424,Purse seines,
13072449,Trawlers,
13237745,Tanker,
13585417,Sailing,
13671126,Trawlers,
14782008,Pole and line,
14809799,Sailing,
14968098,Pilot,
15652184,Tanker,
16484074,Cargo,
16998894,Cargo,
17140534,Sailing,
17186962,Tug,
17739082,Cargo,
17850344,Cargo,
18001827,Cargo,
18976437,Squid,
18976445,Squid,
18976452,Squid,
18976455,Squid,
18976487,Squid,
18978626,Squid,
18981501,Squid,
18981505,Squid,
19021070,Cargo,
19985372,Tanker,
20003318,Sailing,
20049699,Cargo,
20080315,Sailing,
20121968,Tanker,
20249951,Trawlers,
20315318,Cargo,
20380643,Cargo,
20537299,Tanker,
20692006,Tanker,
20734800,Purse seines,
21006800,Reefer,
21062300,Cargo,
21111111,Tanker,
21147980,Tanker,
21148930,Tanker,
21150200,Set gillnets,
21150710,Cargo,
21151900,Tanker,
21233666,Cargo,
21285200,Reefer,
21440330,Tanker,
21448022,Trawlers,
21503223,Cargo,
21526690,Tanker,
21535557,Cargo,
21756906,Cargo,
21999456,Cargo,
22222222,Cargo,
22303714,Sailing,
22806530,Sailing,
22874000,Sailing,
23093936,Sailing,
23361900,Trawlers,
23508275,Pilot,
23712644,Cargo,
23788811,Tanker,
23854477,Cargo,
23986178,Cargo,
24022380,Purse seines,
24070619,Tug,
24104430,Trawlers,
24233100,Pots and traps,
24254001,Trawlers,
24335630,Cargo,
24401644,Tanker,
24407074,Pots and traps,
24410253,Tanker,
24412345,Tanker,
24465003,Sailing,
24465607,Tanker,
24466031,Tanker,Tanker
24466053,Cargo,
24466096,Cargo,
24466375,Sailing,
24467375,Reefer,
24473087,Trawlers,
24480544,Pots and traps,
24593300,Trawlers,
24660592,Cargo,
24842868,Cargo,
25000116,Pole and line,Trawlers
25559042,Tanker,
25562500,Tug,
25766322,Set longlines,
25852310,Sailing,
25920500,Pole and line,
26103770,Set gillnets,
26455181,Tanker,
26701038,Trawlers,
27059000,Cargo,
27121369,Tanker,
27316060,Set gillnets,
27343260,Pole and line,
27920241,Cargo,
28719844,Cargo,
28796341,Reefer,
29202465,Set longlines,
29349400,Cargo,
29807790,Trawlers,
29913878,Pots and traps,
30408706,Pots and traps,
30580300,Cargo,
31273100,Reefer,
31423000,Trawlers,
31567492,Cargo,
31602656,Sailing,
31685693,Tanker,
31904900,Sailing,
31981570,Purse seines,
32126816,Trawlers,
32207178,Cargo,
33029006,Pots and traps,
33030146,Cargo,
33161218,Purse seines,
