mmsi,Label,Match?,Is this a purse seiner?,Who?,Notes,Link,shipname,imo,callsign,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,Score (callsign + flagmatch),clav_DateUpdated,rfmo_name,match_start,clav_DateUpdated,match_score,shiptype,shiptype_fishing,clav_TUVI
271072456,Purse seiners,yes,yes,VL ,Hasip Reis 2,https://www.google.com/search?q=271072456+mmsi,HASŠü__Šü__P REŠü__Šü__S-2,,TC9765,0,1,0,1,0,1,1,2,21:52.0,ICCAT,00:48.0,12/16/14,1150,Purse seiners,1,7241
271072444,Purse seiners,yes,yes,VL ,Sefer Reis,https://www.google.com/search?q=271072444+mmsi,SEFER REŠü__Šü__S,,TC9232,0,1,0,1,0,1,1,2,22:11.0,ICCAT,00:45.0,4/10/15,1418,Purse seiners,1,6995
271072432,Purse seiners,yes,yes,VL ,Dinner Balikcilik,https://www.google.com/search?q=271072432+mmsi,DŠü__Šü__NNER BALIKŠü__Šü__ILIK,,TCQD6,0,1,0,1,0,1,1,2,57:43.0,ICCAT,22:37.0,4/9/15,320,Purse seiners,1,31261
271072428,Purse seiners,yes,yes,VL ,Engin Alver,https://www.google.com/search?q=271072428+mmsi,ENGŠü__Šü__N ALVER,,TCA2503,0,1,0,1,0,1,1,2,22:14.0,ICCAT,01:38.0,4/10/15,1416,Purse seiners,1,31262
271072425,Purse seiners,yes,yes,VL ,Bilgic Kardesler,https://www.google.com/search?q=271072425+mmsi,BŠü__Šü__LGŠü__Šü__Šü__Šü__ KARDEŠü__Šü__LER-II,,TC5668,0,1,0,1,0,1,1,2,21:47.0,ICCAT,46:50.0,12/16/14,1612,Purse seiners,1,6932
271072400,Purse seiners,yes,yes,VL ,Torlak Reis ,https://www.google.com/search?q=271072400+mmsi,TORLAK REŠü__Šü__S-II,,TC9832,0,1,0,1,0,1,1,2,09:19.0,ICCAT,38:59.0,2/14/14,4954,Purse seiners,1,6987
271072390,Purse seiners,yes,yes,VL ,,https://www.google.com/search?q=271072390+mmsi,SUVER 2,,TC2814,0,1,0,1,0,1,1,2,21:50.0,ICCAT,54:46.0,12/16/14,760,Purse seiners,1,7105
271072382,Purse seiners,yes,yes,VL ,Basoglu Balikcilik ,https://www.google.com/search?q=271072382+mmsi,BAŠü__Šü__OŠü__Šü__LU BALIKŠü__Šü__ILIK-1,,TCMA2,0,1,0,1,0,1,1,2,21:52.0,ICCAT,10:31.0,12/16/14,11624,Purse seiners,1,7259
271072381,Purse seiners,yes,yes,VL ,Basoglu Balikcilik 5,https://www.google.com/search?q=271072381+mmsi,BAŠü__Šü__OŠü__Šü__LU BALIKŠü__Šü__ILIK-5,,TC7329,0,1,0,1,0,1,1,2,46:37.0,ICCAT,08:02.0,5/27/13,3100,Purse seiners,1,7260
271072361,Purse seiners,yes,yes,VL ,Cevdet Karadeniz - 2,https://www.google.com/search?q=271072361+mmsi,CEVDET KARADENŠü__Šü__Z-2,,TC5287,0,1,0,1,0,1,1,2,57:43.0,ICCAT,29:50.0,4/9/15,6744,Purse seiners,1,6988
271072329,Purse seiners,yes,yes,VL ,Aktaslar-1,https://www.google.com/search?q=271072329+mmsi,AKTAŠü__Šü__LAR-1,,TC4832,0,1,0,1,0,1,1,2,21:48.0,ICCAT,49:22.0,12/16/14,2086,Purse seiners,1,6934
271072328,Purse seiners,yes,yes,VL ,Kibar,https://www.google.com/search?q=271072328+mmsi,KŠü__Šü__BAR,,TC3576,0,1,0,1,0,1,1,2,09:22.0,ICCAT,01:12.0,2/14/14,2624,Purse seiners,1,7362
271072321,Purse seiners,yes,yes,VL ,Emin Aga-1,https://www.google.com/search?q=271072321+mmsi,EMŠü__Šü__N AŠü__Šü__A-1,,TCA2076,0,1,0,1,0,1,1,2,21:52.0,ICCAT,32:58.0,12/16/14,1134,Purse seiners,1,7263
271072300,Purse seiners,yes,yes,VL ,Denizana - 2,https://www.google.com/search?q=271072300+mmsi,DENŠü__Šü__ZANA-2,,TC7053,0,1,0,1,0,1,1,2,21:51.0,ICCAT,00:47.0,12/16/14,6144,Purse seiners,1,7211
271072272,Purse seiners,yes,yes,VL ,Yildiz Kardesler Bal,https://www.google.com/search?q=271072272+mmsi,YILDIZ KARDEŠü__Šü__LER BALIKŠü__Šü__ILIK,,TC5978,0,1,0,1,0,1,1,2,21:51.0,ICCAT,02:01.0,12/16/14,2902,Purse seiners,1,7184
271072254,Purse seiners,yes,yes,VL ,Eminogullari-4,https://www.google.com/search?q=271072254+mmsi,EMŠü__Šü__NOŠü__Šü__ULLARI-4,,TC9886,0,1,0,1,0,1,1,2,57:42.0,ICCAT,50:54.0,4/9/15,5252,Purse seiners,1,7139
271072237,Purse seiners,yes,yes,VL ,Habib Reis 4,https://www.google.com/search?q=271072237+mmsi,HABŠü__Šü__B REŠü__Šü__S-4,,TCPH4,0,1,0,1,0,1,1,2,20:15.0,ICCAT,22:16.0,1/7/15,27582,Purse seiners,1,7347
271072237,Purse seiners,yes,yes,VL ,the same vessel as above?,https://www.google.com/search?q=271072237+mmsi,HABŠü__Šü__B REŠü__Šü__S-4,,TCPH4,0,1,0,1,0,1,1,2,51:09.0,ICCAT,22:16.0,5/11/15,27582,Purse seiners,1,7347
271072224,Purse seiners,yes,yes,VL ,A. Zeki Atasoy,https://www.google.com/search?q=271072224+mmsi,A. ZEKŠü__Šü__ ATASOY,,TC8905,0,1,0,1,0,1,1,2,21:50.0,ICCAT,00:32.0,12/16/14,12414,Purse seiners,1,7150
271072220,Purse seiners,yes,yes,VL ,Haci Mustafa Kuloglu,https://www.google.com/search?q=271072220+mmsi,HACI MUSTAFA KULOŠü__Šü__LU,9023471,TCBF9,0,1,0,1,0,1,1,2,51:09.0,ICCAT,40:45.0,5/12/15,2466,Purse seiners,1,6896
271072219,Purse seiners,yes,yes,VL ,Haci Sevki Yalcin,https://www.google.com/search?q=271072219+mmsi,HACI Šü__Šü__EVKŠü__Šü__ YALŠü__Šü__IN,,TC5329,0,1,0,1,0,1,1,2,21:51.0,ICCAT,17:18.0,12/16/14,2084,Purse seiners,1,7173
271072208,Purse seiners,yes,yes,VL ,Sengul Kardesler,https://www.google.com/search?q=271072208+mmsi,Šü__Šü__ENGŠü__Šü__L KARDEŠü__Šü__LER,,TC5364,0,1,0,1,0,1,1,2,09:19.0,ICCAT,05:07.0,2/14/14,6656,Purse seiners,1,7000
271072198,Purse seiners,yes,yes,VL ,Genc Kardesler A,https://www.google.com/search?q=271072198+mmsi,GENŠü__Šü__ KARDEŠü__Šü__LER-A,,TC7332,0,1,0,1,0,1,1,2,21:49.0,ICCAT,01:53.0,12/16/14,2258,Purse seiners,1,7028
271072190,Purse seiners,yes,yes,VL ,Aktaslar,https://www.google.com/search?q=271072190+mmsi,AKTAŠü__Šü__LAR-C,9028017,TC5612,0,1,0,1,0,1,1,2,21:47.0,ICCAT,11:24.0,12/17/14,2928,Purse seiners,1,6878
271072178,Purse seiners,yes,yes,VL ,Koroglu-1,https://www.google.com/search?q=271072178+mmsi,KŠü__Šü__ROŠü__Šü__LU-1,,TC2627,0,1,0,1,0,1,1,2,04:49.0,ICCAT,38:55.0,7/15/15,3440,Purse seiners,1,6994
271072171,Purse seiners,yes,yes,VL ,Aktaslar,https://www.google.com/search?q=271072171+mmsi,AKTAŠü__Šü__LAR,,TC2700,0,1,0,1,0,1,1,2,21:53.0,ICCAT,02:28.0,12/16/14,54,Purse seiners,1,7308
271072161,Purse seiners,yes,yes,VL ,Haci Sefer Reis ,https://www.google.com/search?q=271072161+mmsi,HACI SEFER REŠü__Šü__S,,TC5250,0,1,0,1,0,1,1,2,21:50.0,ICCAT,32:30.0,12/16/14,4066,Purse seiners,1,7077
271072127,Purse seiners,yes,yes,VL ,Ucar ,https://www.google.com/search?q=271072127+mmsi,UŠü__Šü__AR,,TC7111,0,1,0,1,0,1,1,2,20:15.0,ICCAT,10:47.0,1/7/15,12408,Purse seiners,1,7098
