mmsi,Gear_Main_Code,Gear_Sec_Code
219010989,OTB,LLS
220544000,OTB,NO
219011225,TBB,NO
219011867,TBB,OTM
220623000,GNS,GNS
220622000,GNS,GNS
219012521,SDN,OTB
220616000,OTB,OTB
220628000,OTB,NO
219012671,OTB,NO
219012607,OTB,NO
219013001,OTB,NO
219013178,OTB,NO
219024000,OTB,NO
219013485,OTB,SDN
219013538,OTB,NO
219013539,OTB,NO
219013192,GNS,NO
219060000,PS,OTB
219013966,OTB,GNS
219063000,OTB,NO
219065000,GNS,NO
219014161,TBB,OTB
219006382,TBB,OTB
219014162,GNS,LLS
219020634,OTB,SDN
219014851,TBB,OTB
219015103,OTB,OTB
219015362,OTB,NO
219343000,SDN,OTB
219016764,OTB,LLS
219424000,OTB,NO
219421000,OTB,OTM
219017379,SSC,SDN
219017576,GNS,FPO
219017843,OTB,NO
219017895,OTB,NO
219018405,OTB,GNS
219019093,OTM,NO
219019287,OTB,NO
219019555,OTB,PS
219020578,OTB,GNS
219001559,OTB,OTM
219020304,OTB,OTB
224099320,LLS,FPO
224081290,LLS,FPO
224024000,LLS,GNS
224057130,OTB,NO
224252450,OTB,NO
224012860,OTB,NO
224011130,PS,NO
224279670,PS,NO
224102950,PS,NO
224081670,OTB,NO
224016630,PS,NO
224087460,OTB,NO
224087540,OTB,NO
224083790,OTB,NO
224368530,OTB,NO
224026780,PS,NO
224230530,PS,NO
224026690,OTB,NO
224074980,PS,NO
224147740,LLS,FPO
224173660,GNS,GTR
224021550,PS,NO
224097670,OTB,NO
224087260,PS,NO
224022730,PS,NO
224020460,GNS,NO
224024540,PS,NO
224127360,OTB,NO
224104180,OTB,NO
224005860,PS,NO
224133770,OTB,NO
224126630,OTB,NO
224106860,OTB,NO
224212820,PS,NO
224025780,OTB,NO
224104240,OTB,NO
224106840,OTB,NO
224104380,OTB,NO
224095430,OTB,NO
224086520,OTB,NO
224104340,PS,NO
224087870,OTB,NO
224051140,LLS,FPO
224000240,LLS,FPO
224104420,PS,NO
224089290,OTB,NO
224106240,OTB,NO
224116420,PS,NO
224580000,PS,NO
224071880,OTB,NO
224754000,OTB,PTB
224283540,LLS,NO
224019910,OTB,NO
224105460,OTB,NO
224431000,PS,NO
224392000,LLD,NO
224205630,PS,NO
224004800,PS,NO
224024480,PS,NO
224093760,LLS,NO
224128320,LLS,NO
224011530,LLS,NO
224104170,OTB,NO
224070240,OTB,NO
224727000,PS,NO
224166160,LLD,NO
224074180,LLS,FPO
224010950,OTB,NO
224030890,PS,NO
224009750,PS,NO
224709000,PS,NO
224733000,PS,NO
224024870,PS,NO
224025970,PS,NO
224027520,OTB,NO
224021650,PS,NO
224031980,OTB,NO
224011160,OTB,NO
224103570,PS,NO
224092830,OTB,NO
224012890,PS,NO
224022910,LLD,NO
224144590,OTB,NO
224567000,OTB,PTB
224012980,GNS,NO
224167590,OTB,NO
224050370,GNS,GTR
224368920,PS,NO
224088370,OTB,NO
224144580,OTB,NO
224488000,OTB,PTB
224049530,LLD,NO
224491000,OTB,PTB
224121760,OTB,NO
224052460,PS,NO
224506000,OTB,PTB
224732000,OTB,PTB
224724000,OTB,PTB
224095140,OTB,NO
224094660,OTB,NO
224014490,OTB,NO
224105480,GNS,NO
224009840,PS,NO
224943000,OTB,PTB
224897000,OTB,PTB
