MMSI,Call sign,Selective call number,Name of station,Administration/ Geographical area,Lifeboats,Auxiliary installations (EPIRBs),General classification,Individual classification,Registration number,Gross tonnage,Capacity of persons on board,Telegraph transmission frequency bands,Telegraph transmission frequency bands 2,Accounting Authority Identification Code (AAIC)
205542810,OR5428,,VOCE VENTU,BEL,,,PL,XXX,B768142,9.5,,,V,
205542900,OS5429,,CHEVY-YORK,BEL,,,PL,XXX,A733759,6,,,V,
205542910,OR5429,,CAPRICE,BEL,,,PL,XXX,B768181,7.3,10,,V,
205543000,ONCS,,EUPEN,BEL,1,,MM,,,23952,23,,STUV,
205543100,OS5431,,AS DE COEUR,BEL,,,PL,XXX,K724159,,,,V,BE01
205543110,OR5431,,ZINGARA PILAR,BEL,1,,PL,XXX,B768129,5,7,,V,
205543210,OR5432,,MAVERICK,BEL,,,PL,XXX,G768930,"2,2",6,,V,
205543300,OS5433,,EXPRESS 600,BEL,,,PL,XXX,B732985,1,4,,V,
205543310,OR5433,,VON BRIKA,BEL,,,PL,XXX,B768249,"7,9",8,,V,
205543400,OS5434,,MISTRAL,BEL,1,,PL,XXX,A704307,,4,,V,BE01
205543510,OR5435,,ARWEN,BEL,1,,PL,XXX,B766822,"12,59",6,,V,
205543610,OR5436,,KENT’ANNOS,BEL,,,PL,XXX,B767971,"17,38",12,,V,
205543700,OS5437,,CHILL OUT,BEL,,,PL,XXX,B786084,"3,650",8,,V,
205543710,OR5437,,GOEMAL,BEL,1,,PL,XXX,B22208,"1,5",2,,V,
205543800,OS5438,,ERNA,BEL,,,PL,XXX,A716889,1,4,,V,BE01
205543810,OR5438,,ANIMUS,BEL,1,,PL,XXX,A768315,"5,1",8,,V,
205543910,OR5439,,IRIS III,BEL,,,PL,XXX,Z787644,"1,8",8,,V,
205544010,OR5440,,STONY,BEL,,,PL,XXX,B767424,"3,7",6,,V,
205544110,OR5441,,DE SAELIGHEIT,BEL,,,PL,XXX,A767978,,4,,V,
205544200,OS5442,,SUMMERTIME,BEL,,,PL,XXX,A729141,,,,V,
205544210,OR5442,,NEWFENEES,BEL,,,PL,XXX,K768314,2,6,,V,
205544310,OR5443,,FOR FUN,BEL,,,PL,XXX,B757989,,4,,V,
205544410,OR5444,,SEABIRD,BEL,,,PL,XXX,Z784298,,6,,V,
205544510,OR5445,,MARABOE,BEL,1,,PL,XXX,K766278,2,6,,V,
205544610,OR5446,,WAPONI WOO,BEL,,,PL,XXX,Z766392,"9,65",8,,V,
205544700,OS5447,,RABBIT-POWER,BEL,,,PL,XXX,K400067,,,,V,BE01
205544710,OR5447,,L’EQUILIBRE,BEL,1,,PL,XXX,G802122,"6,1",8,,V,
205544810,OR5448,,MALOU,BEL,,,PL,XXX,K768380,"6,5",2,,V,
205544910,OR5449,,NJORD,BEL,,,PL,XXX,B763840,,,,V,
205545000,ORPE,,UNION PANDA,BEL,1,,MM,TUG,,479,6,,STUV,BE04
205545010,OR5450,,DE CARRE,BEL,,,PL,XXX,K754728,19,10,,V,
205545110,OR5451,,PEPE PAROLE,BEL,1,,PL,XXX,A748089,38,8,,V,
205545200,OS5452,,GARFIELD,BEL,,,PL,XXX,A709892,9,5,,V,BE01
205545210,OR5452,,NOTUS,BEL,,,PL,XXX,B765155,,7,,V,
205545310,OR5453,,MINX,BEL,1,,PL,XXX,A768207,"10,3",10,,V,
205545410,OR5454,,BONNE,BEL,,,PL,XXX,G768458,24,,,V,
205545510,OR5455,,VIENTO,BEL,,,PL,XXX,B805302,11,,,V,
205545600,OS5456,,SHERAY,BEL,1,,PL,XXX,A764529,"4,6",8,,V,
205545610,OR5456,,L’ILET,BEL,1,,PL,XXX,B743753,,4,,V,
205545700,OS5457,,RAPPE,BEL,,,PL,XXX,BC719245,,4,,V,
205545710,OR5457,,ENOLA,BEL,,,PL,XXX,B768478,"11,5",8,,V,
205545810,OR5458,,HAPPY HOUR,BEL,1,,PL,XXX,K767018,6,8,,V,
205545900,OS5459,,MY DREAM II,BEL,,,PL,XXX,G807602,17,10,,V,BE01
205545910,OR5459,,GABBIANO FELICE,BEL,,,PL,XXX,B767291,"14,27",8,,V,
205546000,ORPF,,UNION KOALA,BEL,1,,MM,TUG,,479,8,,STUV,BE04
205546010,OR5460,,AMIE,BEL,1,,PL,XXX,A776635,27,,,V,
205546100,OS5461,,SYZYGY,BEL,,,PL,XXX,B768735,"8,5",6,,V,BE01
205546110,OR5461,,CHINA GIRL II,BEL,,,PL,XXX,B768413,"1,9",8,,V,
205546210,OR5462,,LE BOSS,BEL,,,PL,XXX,B765090,"0,2",8,,V,
205546300,OS5463,,CRUSADER,BEL,,,PL,XXX,K741474,4,,,V,
205546310,OR5463,,TONY,BEL,,,PL,XXX,B767902,"0,7",8,,V,
205546410,OR5464,,KEIKO,BEL,,,PL,XXX,K761001,,,,V,
205546600,OS5466,,CHA’PTAIN,BEL,,,PL,XXX,B792023,19,,,V,
205546610,OR5466,,SKIM,BEL,1,,PL,XXX,A768444,"4,6",7,,V,
205546700,OS5467,,SO LONG,BEL,,,PL,XXX,G748590,,,,V,
205546710,OR5467,,ALLEGRIA,BEL,1,,PL,XXX,BC768512,"3,6",8,,V,
205546810,OR5468,,EMILIO,BEL,,,PL,XXX,K792206,16,12,,V,
205546910,OR5469,,MARIJAN,BEL,,,PL,XXX,A767329,"1,994",8,,V,
205547000,ONFU,,BRASSCHAAT,BEL,1,,MM,CA,,20700,25,,STUV,
205547010,OR5470,,PARSEVAL,BEL,,,PL,XXX,L768445,,,,V,
205547100,OS5471,,CHEERIO,BEL,,,PL,XXX,A703376,7,,,V,BE01
205547110,OR5471,,LE POISSON D’OR X,BEL,,,PL,XXX,B768438,0.7,8,,V,
205547200,OS5472,,AQUARELLIA,BEL,,,PL,XXX,B731061,6,,,V,
205547210,OR5472,,LA BONITE,BEL,,,PL,XXX,B768567,0.3,8,,V,
205547310,OR5473,,JASHA,BEL,1,,PL,XXX,K763508,1.5,4,,V,
205547410,OR5474,,ASPHODELE,BEL,1,,PL,XXX,B763271,,8,,V,
205547500,OS5475,,YOHIMBINE,BEL,,,PL,XXX,K794383,5,,,V,
205547510,OR5475,,WITBLITS,BEL,1,,PL,XXX,B63241,6,4,,V,
205547600,OS5476,,CHELDINE,BEL,,,PL,XXX,B67559,12,6,,V,
205547610,OR5476,,MARGRET,BEL,,,PL,XXX,Z766286,9,8,,V,
205547710,OR5477,,POLOK DIANK,BEL,1,,PL,XXX,B768353,,7,,V,
205547810,OR5478,,TOUCH,BEL,1,,PL,XXX,A768263,3,5,,V,
205547910,OR5479,,DYLAN,BEL,,,PL,XXX,Z765175,,,,V,
205548000,ONFV,,FELICITY,BEL,2,,,,,81000,30,,,BE02
205548010,OR5480,,CANALES II,BEL,,,PL,XXX,A765576,13,5,,V,
205548100,OS5481,,COSMAN 1,BEL,,,PL,XXX,K735298,,,,V,
205548110,OR5481,,GOLDEN,BEL,1,,PL,XXX,K760720,,5,,V,
205548200,OS5482,,EOS,BEL,,,PL,XXX,A727403,19,6,,V,
205548210,OR5482,,SALAMMBO,BEL,,,PL,XXX,B767400,6,6,,V,
205548300,OS5483,,THREE LADIES,BEL,,,PL,XXX,A730124,,5,,V,BE01
205548310,OR5483,,STESO,BEL,,,PL,XXX,G764987,1.6,8,,V,
205548410,OR5484,,NRJ-BALL,BEL,,,PL,XXX,A768205,"6,250",8,,V,
205548510,OR5485,,BETSABEA,BEL,1,,PL,XXX,B768347,"14,27",8,,V,
205548610,OR5486,,TERSANE,BEL,,,PL,XXX,B767659,,8,,V,
205548700,OS5487,,KHAMSIN,BEL,,,PL,XXX,B774159,6,,,V,BE01
205548710,OR5487,,DOLCE FAR NIENTE,BEL,,,PL,XXX,G791907,,6,,V,
205548800,OS5488,,JES,BEL,,,PL,XXX,A715040,,,,V,
205548810,OR5488,,CALVITO II,BEL,,,PL,XXX,K805965,13,,,V,
205548910,OR5489,,SENSATION,BEL,1,,PL,XXX,K766530,3,6,,V,
205549000,ONFW,,MINERAL DALIAN,BEL,1,,NS,CA,,94338,30,,STUV,US06
205549010,OR5490,,MORSKOUL II,BEL,1,,PL,XXX,B780621,,13,,V,
205549100,OS5491,,ROG,BEL,,,PL,XXX,K755285,,6,,V,
205549110,OR5491,,EL SUENO,BEL,,,PL,XXX,A768386,"3,9",6,,V,
205549210,OR5492,,GREGORY,BEL,,,PL,XXX,K799097,10,4,,V,
205549310,OR5493,,KASTAAR,BEL,1,,PL,XXX,A764273,"7,210",12,,V,
205549400,OS5494,,KRIBI,BEL,,,PL,XXX,B803128,4.3,,,V,BE01
205549410,OR5494,,MARGRET,BEL,,,PL,XXX,Z766289,9,8,,V,
205549500,OS5495,,SINJOOR,BEL,,,PL,XXX,A738643,,,,V,
205549510,OR5495,,BROCELIANDE,BEL,,,PL,XXX,B755997,,12,,V,
205549600,OS5496,,DUC CHEVALIER,BEL,1,,PL,XXX,B767822,18,6,,V,
205549610,OR5496,,CORONACION,BEL,1,,PL,XXX,G754770,"5,75",2,,V,
205549710,OR5497,,PETIT ORCA,BEL,,,PL,XXX,A768769,"6,65",,,V,
205549800,OS5498,,CAJUN,BEL,,,PL,XXX,A759305,2,6,,V,
205549810,OR5498,,GRETA,BEL,,,PL,XXX,K792566,13,2,,V,
205549900,OS5499,,HORIZON BLUE,BEL,,,PL,XXX,,,,,V,BE01
205549910,OR5499,,BLUBBER,BEL,,,PL,XXX,A766809,3,5,,V,
205550000,OPFZ,,MARRETJE AALTJE,BEL,1,,FV,PH,,199,6,,,BE02
205550010,OR5500,,KALO TAXIDI,BEL,,,PL,XXX,A766334,6,8,,V,
205550210,OR5502,,FERCADOS,BEL,,,PL,XXX,G768565,4,8,,V,
205550300,OS5503,,BEROZEL,BEL,,,PL,XXX,K799677,"2,090",8,,V,
205550310,OR5503,,JUPITER,BEL,1,,PL,XXX,G768258,"30,14",6,,V,
205550400,OS5504,,KIEF,BEL,,,PL,XXX,A709415,,,,V,
205550410,OR5504,,GUYA,BEL,,,PL,XXX,B768391,,8,,V,
205550510,OR5505,,MANANA,BEL,1,,PL,XXX,A767664,6,6,,V,
205550600,OS5506,,DYLUC II,BEL,1,,PL,XXX,B787409,"6,34",7,,V,
205550610,OR5506,,GASPAR III,BEL,,,PL,XXX,B02437,3,4,,V,
205550700,OS5507,,NOORDZEE,BEL,,,PL,XXX,K737097,8,4,,V,
205550710,OR5507,,DIAMANTE,BEL,1,,PL,XXX,G759546,7,6,,V,
205550910,OR5509,,FREEDOM,BEL,,,PL,XXX,,"4,65",8,,V,
205551000,ONFX,,EXQUISITE,BEL,,,NS,TPG,,30397,,,STUV,
205551010,OR5510,,LE TROUBADOUR,BEL,,,PL,XXX,L794732,7,4,,V,
205551110,OR5511,,ORYX,BEL,,,PL,XXX,A768481,8.5,,,V,
205551210,OR5512,,FREEWAY,BEL,1,,PL,XXX,G767064,7,10,,V,
205551310,OR5513,,MIJOMA,BEL,,,PL,XXX,B768886,,5,,V,
205551400,OS5514,,MOKARIA,BEL,1,,PL,XXX,L738140,30,12,,V,BE01
205551410,OR5514,,BLUE OCEAN,BEL,,,PL,XXX,G756189,2.3,,,V,
205551510,OR5515,,LAVRENDIA,BEL,,,PL,XXX,B745410,9,12,,V,
205551600,OS5516,,ELMA,BEL,,,PL,XXX,Z786103,,1,,V,
205551610,OR5516,,SALSA,BEL,,,PL,XXX,K768298,11.5,,,V,
205551700,OS5517,,KEN’EM,BEL,,,PL,XXX,Z798828,3.5,,,V,
205551710,OR5517,,SANDYWES,BEL,,,PL,XXX,G767873,1.2,5,,V,
205551900,OS5519,,ISLA,BEL,,,PL,XXX,K730495,5,,,V,
205551910,OR5519,,SEVROGA,BEL,,,PL,XXX,B743215,"3,5",5,,V,
205552000,ONFY,,EXPEDIENT,BEL,3,,NS,LNG,BZ336,100325,40,,STUV,
205552010,OR5520,,SOLSKIN,BEL,,,PL,XXX,B768068,7.5,8,,V,
205552020,OS5520,,GERONIMO,BEL,1,,PL,XXX,K723600,,,,V,
205552100,OS5521,,FALCON,BEL,,,PL,XXX,K738867,,,,V,
205552110,OR5521,,L’HERITAGE,BEL,,,PL,XXX,K767742,11,8,,V,
205552200,OS5522,,THEODOSIA,BEL,,,PL,XXX,A731688,7,,,V,BE01
205552210,OR5522,,OUTSIPLOU,BEL,,,PL,XXX,L797602,5.25,,,V,
205552300,OS5523,,KEYKOP,BEL,1,,PL,XXX,A744020,"8,5",6,,STUV,
205552310,OR5523,,GEMO,BEL,,,PL,XXX,L767916,4.35,6,,V,
205552400,OS5524,,ATLANTIS,BEL,,,PL,XXX,G737253,,10,,V,
205552410,OR5524,,VRIJHEID,BEL,,,PL,XXX,A768696,2.5,,,V,
205552500,OS5525,,GARCE,BEL,,,PL,XXX,K405951,,,,V,BE01
205552510,OR5525,,MUC MHARA,BEL,1,,PL,XXX,A768900,13,6,,V,
205552610,OR5526,,LIBEL,BEL,1,,PL,XXX,B35252,15,2,,V,
205552710,OR5527,,KARMA,BEL,1,,PL,XXX,A768962,"9,7",6,,V,
205552800,OS5528,,PINTA,BEL,,,PL,XXX,K731343,,6,,V,BE01
205552810,OR5528,,HEKTOR,BEL,,,PL,XXX,B766001,46,8,,V,
205552900,OS5529,,LA NATURE,BEL,2,,PL,XXX,B784488,"28,260",8,,V,
205552910,OR5529,,MERLOT,BEL,,,PL,XXX,B767826,14,6,,V,
205553000,ONFZ,,EXEMPLAR,BEL,2,,NS,TPG,,100361,40,,STUV,
205553010,OR5530,,EARNIL,BEL,,,PL,XXX,B768807,"6,1",6,,V,
205553100,OS5531,,GOODWIN,BEL,,,PL,XXX,B735625,,,,V,BE01
205553110,OR5531,,KWAK,BEL,,,PL,XXX,A768925,,2,,V,
205553200,OS5532,,TIKI,BEL,1,,PL,XXX,L749947,"6,5",5,,V,
205553210,OR5532,,OPTITUS,BEL,,,PL,XXX,K793217,"4,2",6,,V,
205553310,OR5533,,SYMFONIE,BEL,,,PL,XXX,G743906,"3,6",5,,V,
205553400,OS5534,,IMAGINE,BEL,,,PL,XXX,B804650,,,,V,
205553410,OR5534,,AQUAVIT,BEL,,,PL,XXX,A768967,9,10,,V,
205553510,OR5535,,PRINCESS,BEL,1,,PL,XXX,L768416,7,6,,V,
205553710,OR5537,,JULIE,BEL,,,PL,XXX,A766510,"11,5",,,V,
205553800,OS5538,,KWINTE II,BEL,,,PL,XXX,G764700,12,,,V,
205553810,OR5538,,KELNIK,BEL,,,PL,XXX,A797581,3,6,,V,
205553900,OS5539,,JONGE SINJOOR,BEL,,,PL,XXX,G795705,8,,,V,
205554000,ONGA,,MINERAL NINGBO,BEL,2,,NS,OIL,,90000,60,,STUV,
205554010,OR5540,,CHICCA V,BEL,,,PL,XXX,B766800,,,,V,
205554100,OS5541,,GREY DONKEY,BEL,1,,PL,XXX,L730648,12,6,,V,
205554110,OR5541,,MILES TO GO,BEL,1,,PL,XXX,A761746,"7,7",6,,V,
205554200,OS5542,,LAMBADA,BEL,1,,PL,XXX,A779041,"21,5",5,,V,BE01
205554210,OR5542,,YAM,BEL,1,,PL,XXX,B766466,"0,9",4,,V,
205554300,OS5543,,ANDOYA,BEL,,,PL,XXX,B741305,10,8,,V,
205554310,OR5543,,VALKYRIA,BEL,,,PL,XXX,B768971,3,6,,V,
205554400,OS5544,,LAGUNA,BEL,,,PL,XXX,A715180,13,7,,V,
205554410,OR5544,,BLUE EYES,BEL,,,PL,XXX,G765260,,8,,V,
205554510,OR5545,,WILDEMAN,BEL,1,,PL,XXX,A765764,,6,,V,
205554600,OS5546,,MOUNE IV,BEL,,,PL,XXX,A740793,,,,V,
205554610,OR5546,,FULMONTE,BEL,1,,PL,XXX,B804573,17.5,,,V,
205554710,OR5547,,LOXIA,BEL,,,PL,XXX,A769122,7,10,,V,
205554800,OS5548,,LIEVE II,BEL,,,PL,XXX,A797132,12,,,V,
205554810,OR5548,,OXYGEN,BEL,1,,PL,XXX,A766554,6.3,8,,V,
205554910,OR5549,,RHIANNON,BEL,,,PL,XXX,G765345,3,8,,V,
205555000,ORPM,,DHAMRA,BEL,,,MM,DRG,,,8,,STUV,BE05
205555010,OR5550,,NEOS,BEL,,,PL,XXX,A764726,5.7,6,,V,
205555110,OR5551,,WINDEKIND,BEL,,,PL,XXX,B767943,6,8,,V,
205555210,OR5552,,VENTOUX,BEL,1,,PL,XXX,A769421,7,6,,V,
205555310,OR5553,,VIPER,BEL,,,PL,XXX,Z775366,"1,5",3,,V,
205555400,OS5554,,MONKSWOOD,BEL,,,PL,XXX,A732809,2,,,V,
205555410,OR5554,,POLE POLE,BEL,,,PL,XXX,K762925,0.6,5,,V,
205555510,OR5555,,VLETTE VERTE,BEL,,,PL,XXX,B50521,"0,7",8,,V,
205555610,OR5556,,CARO,BEL,,,PL,XXX,B755454,7,10,,V,
205555710,OR5557,,EDELWEISS,BEL,1,,PL,XXX,B765868,16,10,,V,
205555800,OS5558,,AMARYLLIS,BEL,,,PL,XXX,G735133,9,4,,V,
205555810,OR5558,,JEI AND VI,BEL,1,,PL,XXX,B768612,21,10,,V,
205555900,OS5559,,XEIL,BEL,,,PL,XXX,A716558,"1,6",6,,V,
205555910,OR5559,,TZIGANA,BEL,1,,PL,XXX,B768641,"11,09",6,,V,
205556000,ORPL,,GANGA,BEL,,,MM,DRG,,1104,,,,BE05
205556010,OR5560,,CARPE DIEM,BEL,,,PL,XXX,K769155,5,6,,V,
205556100,OS5561,,ELENTAS 2,BEL,,,PL,XXX,A775737,6,,,V,
205556110,OR5561,,LOLI 2,BEL,,,PL,XXX,B741561,,4,,V,
205556200,OS5562,,MARCO,BEL,,,PL,XXX,K747712,10,,,V,
205556210,OR5562,,PASCIOR,BEL,1,,PL,XXX,B55535,10,12,,V,
205556300,OS5563,,PAS,BEL,,,PL,XXX,L738788,,,,V,
205556310,OR5563,,MILONGA,BEL,,,PL,XXX,B762325,"2,4",5,,V,
205556400,OS5564,,MERLIN,BEL,1,,PL,XXX,B725396,8,6,,V,
205556410,OR5564,,IMPULS 2,BEL,1,,PL,XXX,B61036,30,2,,V,
205556500,OS5565,,PETRUS,BEL,,,PL,XXX,G769602,,,,V,
205556510,OR5565,,LUNIC,BEL,1,,PL,XXX,L775102,"1,7",5,,V,
205556610,OR5566,,EOLE,BEL,,,PL,XXX,B789901,"4,11",5,,V,
205556710,OR5567,,RICOHEBA,BEL,,,PL,XXX,B61869,14,8,,V,
205556810,OR5568,,MIGHTY DUCK,BEL,,,PL,XXX,K766721,2,,,V,
205556910,OR5569,,QUINTO,BEL,,,PL,XXX,A744194,"6,3",3,,V,
205557000,ORPH,,ARTEVELDE,BEL,5,,MM,DRG,,5005,14,,STUV,
205557010,OR5570,,TUIMELAAR,BEL,,,PL,XXX,A768614,,6,,V,
205557100,OS5571,,RAN,BEL,,,PL,XXX,A731560,"2,4",,,V,
205557110,OR5571,,LA LYS,BEL,,,PL,XXX,B54351,6,10,,V,
205557210,OR5572,,L’ESCAUT,BEL,,,PL,XXX,B52582,7,12,,V,
205557310,OR5573,,LA DEULE,BEL,,,PL,XXX,B52510,7,12,,V,
205557410,OR5574,,BORN2SAIL,BEL,,,PL,XXX,B768360,"36,30",16,,V,
205557500,OS5575,,WIDAM,BEL,,,PL,XXX,BC751743,,,,V,
205557510,OR5575,,CANARD LAQUE,BEL,1,,PL,XXX,B3549,"13,35",2,,V,
205557610,OR5576,,SPOUTNIK,BEL,,,PL,XXX,B769042,30,11,,V,
205557700,OS5577,,WEST MARINE III,BEL,,,PL,XXX,B788084,"3,24",7,,V,
205557710,OR5577,,ZOEF,BEL,,,PL,XXX,Z768920,3,6,,V,
205557810,OR5578,,ISAURA,BEL,,,PL,XXX,K754213,1.6,,,V,
205557910,OR5579,,SANY,BEL,1,,PL,XXX,A769369,,12,,V,
205558000,ORPI,,UNION WARRIOR,BEL,,,MM,TUG,,,,,STUV,
205558010,OR5580,,LYSIANE,BEL,1,,PL,XXX,B767848,9,15,,V,
205558100,OS5581,,ODYSSEE,BEL,,,PL,XXX,B750127,8,6,,V,
205558110,OR5581,,MORAL,BEL,1,,PL,XXX,G769222,"44,4",7,,V,
205558210,OR5582,,COUP DE FOUDRE,BEL,1,,PL,XXX,B791522,13.95,4,,V,
205558310,OR5583,,OMEGA,BEL,1,,PL,XXX,B07952,18,3,,V,
205558400,OS5584,,LITO,BEL,,,PL,XXX,A719198,"9,4",,,V,
205558410,OR5584,,CHRISTINA,BEL,,,PL,XXX,B769187,"5,6",,,V,
205558500,OS5585,,VITALITY,BEL,,,PL,XXX,A713929,,,,V,
205558510,OR5585,,SWINGER,BEL,,,PL,XXX,B768921,"19,19",12,,V,
205558600,OS5586,,LOUNO,BEL,,,PL,XXX,A736141,,,,V,BE01
205558610,OR5586,,FALCO,BEL,,,PL,XXX,A764459,"2,5",,,V,
205558700,OS5587,,BULLE,BEL,,,PL,XXX,A768904,3,6,,V,
205558710,OR5587,,TY-KERN,BEL,,,PL,XXX,B767639,"0,5",8,,V,
205558810,OR5588,,LE BOKIL’EAU,BEL,,,PL,XXX,B769041,2,8,,V,
205558910,OR5589,,LA NAVE VA,BEL,,,PL,XXX,B768005,25,,,V,
205559000,ONGB,,FRATERNITY,BEL,2,,MM,,,81000,30,,STUV,
205559010,OR5590,,NAOS,BEL,1,,PL,XXX,B768383,"14,32",6,,V,
205559110,OR5591,,PRIMAVERA,BEL,,,PL,XXX,G766991,"3,2",10,,V,
205559200,OS5592,,STORMY MONDAY,BEL,1,,PL,XXX,B749757,6,8,,V,
205559210,OR5592,,OBAN,BEL,,,PL,XXX,B767583,,12,,V,
205559310,OR5593,,HARLEY,BEL,,,PL,XXX,K769115,,,,V,
205559410,OR5594,,CLEO,BEL,,,PL,XXX,K769109,30,,,V,
205559600,OS5596,,BLUE HERON,BEL,,,PL,XXX,,,,,V,BE01
205559610,OR5596,,MARINA RESCUE,BEL,,,PL,XXX,K747197,1.2,,,V,
205559700,OS5597,,SOFIA,BEL,,,PL,XXX,G739114,2,8,,V,
205559710,OR5597,,MAXIME,BEL,,,PL,XXX,A768844,2.7,8,,V,
205559810,OR5598,,KALA,BEL,,,PL,XXX,B782486,"1,75",4,,V,
205559910,OR5599,,TI LOUP,BEL,,,PL,XXX,L769001,9,12,,V,
205560010,OR5600,,BLOODY MARY,BEL,,,PL,XXX,B804340,3.75,,,V,
205560110,OR5601,,CERNIOTTA,BEL,,,PL,XXX,L764816,"4,5",10,,V,
205560200,OS5602,,P’TIT JULIEN,BEL,,,PL,XXX,B757897,35,12,,V,
205560210,OR5602,,KAROLINA,BEL,,,PL,XXX,Z759159,,2,,V,
205560300,OS5603,,BERYLUNE,BEL,,,PL,XXX,B754326,4,4,,V,
205560310,OR5603,,STORMVOGEL,BEL,,,PL,XXX,A769247,12,8,,V,
205560410,OR5604,,WHITE PRINCESS,BEL,1,,PL,XXX,A769325,32,12,,V,
205560510,OR5605,,ASTRIDOS,BEL,1,,PL,XXX,B765657,12,8,,V,
205560610,OR5606,,CAPRICE²,BEL,,,PL,XXX,A768858,"3,4",6,,V,
205560710,OR5607,,VICKY,BEL,,,PL,XXX,K766631,,,,V,
205560810,OR5608,,ERRAID,BEL,,,PL,XXX,B769014,8,8,,V,
205560910,OR5609,,TIMOTE II,BEL,,,PL,XXX,B769034,75,8,,V,
205561000,ONGC,,ZARECHENSK,BEL,3,,,,,20748,20,,,BE02
205561010,OR5610,,NINO,BEL,,,PL,XXX,K769116,3,8,,V,
205561110,OR5611,,PALLIETER,BEL,,,PL,XXX,K769208,4,10,,V,
205561200,OS5612,,BLUE THUNDER,BEL,,,PL,XXX,G732232,1,8,,V,BE01
205561210,OR5612,,NESSIE,BEL,,,PL,XXX,A768542,6,7,,V,
205561310,OR5613,,JOLLY JUMPER,BEL,,,PL,XXX,B763445,"11,04",8,,V,
205561400,OS5614,,CRANGON,BEL,1,,PL,XXX,BC723605,,16,,V,
205561410,OR5614,,ARGUS,BEL,1,,PL,XXX,B38863,,6,,V,
205561500,OS5615,,MORGANE,BEL,,,PL,XXX,A757120,"5,2",,,V,
205561510,OR5615,,MISTRAL,BEL,1,,PL,XXX,B768839,"2,8",8,,V,
205561600,OS5616,,MAGIC,BEL,,,PL,XXX,BC745546,10,10,,V,
205561610,OR5616,,CYRANO,BEL,,,PL,XXX,L761744,,7,,V,
205561710,OR5617,,PAQUITA,BEL,1,,PL,XXX,B63426,"10,5",8,,V,
205561800,OS5618,,LIBERTY,BEL,2,,PL,XXX,A784051,52,8,,V,BE01
205561810,OR5618,,BROCELIANTE,BEL,,,PL,XXX,B766629,3.5,6,,V,
205561900,OS5619,,THEOPHANE,BEL,,,PL,XXX,B768789,6,5,,V,
205561910,OR5619,,MARISTO,BEL,,,PL,XXX,A757363,1.5,5,,V,
205562000,ORPN,,PROVIDER,BEL,,,SV,,,13,14,,,
205562010,OR5620,,BEE ZEN,BEL,1,,PL,XXX,B762850,,6,,V,
205562110,OR5621,,ANNE DEL NORTE,BEL,,,PL,XXX,Z786057,2.9,5,,V,
205562200,OS5622,,SIRIUS,BEL,1,,PL,XXX,B739133,"5,4",6,,V,
205562310,OR5623,,VDP,BEL,,,PL,XXX,A768197,5,6,,V,
205562410,OR5624,,KISMET IV,BEL,1,,PL,XXX,A768583,10,8,,V,
205562500,OS5625,,MADALICA,BEL,,,PL,XXX,Z785980,"0,800",8,,V,BE01
205562510,OR5625,,DRAGONFLY,BEL,,,PL,XXX,B769423,,12,,V,
205562600,OS5626,,THOR,BEL,,,PL,XXX,A742648,,,,V,BE01
205562610,OR5626,,ETERNITY,BEL,,,PL,XXX,A767460,"2,75",6,,V,
205562710,OR5627,,DYLANO,BEL,,,PL,XXX,A768206,2,6,,V,
205562810,OR5628,,PHILOS,BEL,,,PL,XXX,G769268,,,,V,
205562900,OS5629,,NEMO,BEL,,,PL,XXX,K735951,5,,,V,
205562910,OR5629,,BIRD,BEL,,,PL,XXX,A766283,5,5,,V,
205563000,ONGD,,CHE,BEL,,,XX,,BZ340,206,15,,,
205563010,OR5630,,CAVA,BEL,1,,PL,XXX,A769299,13,8,,V,
205563100,OS5631,,HILTON,BEL,,,PL,XXX,B754110,6,5,,V,
205563110,OR5631,,OLDAVY,BEL,,,PL,XXX,B780728,"4,9",,,V,
205563210,OR5632,,ATON,BEL,,,PL,XXX,L768911,"2,8",3,,V,
205563300,OS5633,,TINA,BEL,,,PL,XXX,A760884,10,,,V,BE01
205563310,OR5633,,JEANNINE,BEL,,,PL,XXX,L769257,"12,38",7,,V,
205563410,OR5634,,LIBERTALIA,BEL,1,,PL,XXX,A767301,25,12,,V,
205563510,OR5635,,CIRCE,BEL,,,PL,XXX,A769335,"1,15",4,,V,
205563610,OR5636,,IL VERDE,BEL,,,PL,XXX,A758304,6,2,,V,
205563700,OS5637,,LE TRI,BEL,,,PL,XXX,B736571,5,8,,V,
205563710,OR5637,,NAUSICAA,BEL,,,PL,XXX,B768403,,6,,V,
205563810,OR5638,,IRENA,BEL,1,,PL,XXX,B760306,,5,,V,
205563900,OS5639,,JOWARI,BEL,,,PL,XXX,BC715042,,,,V,
205563910,OR5639,,MORNING BREEZE,BEL,,,PL,XXX,B767472,2.8,8,,V,
205564010,OR5640,,BORA BORA,BEL,,,PL,XXX,L764905,"3,3",5,,V,
205564110,OR5641,,BOSSA NOVA,BEL,,,PL,XXX,A768985,,,,V,
205564210,OR5642,,M & M,BEL,,,PL,XXX,K766256,"3,5",,,V,
205564300,OS5643,,SUVAROV,BEL,,,PL,XXX,B102287,,,,V,
205564310,OR5643,,YXILIUM,BEL,1,,PL,XXX,BC769398,12,10,,V,
205564410,OR5644,,WILD THING,BEL,1,,PL,XXX,A782550,15,8,,V,
205564510,OR5645,,MAD TOO,BEL,1,,PL,XXX,B761177,"14,90",6,,V,
