mmsi,name_count
701006155,37
258931000,37
598130591,37
727948480,37
416151000,37
565574000,37
636011817,37
842255564,37
249901000,37
721470464,37
636016624,37
636014212,37
470124000,37
406000000,37
1905266,37
219018692,37
211200300,37
412040404,37
413358260,37
123000000,37
533180081,37
538005621,37
232779000,37
236111881,37
211556950,37
16252928,37
636091423,37
244780227,37
244620847,37
210139000,37
218003000,37
538080097,37
470755000,37
470737000,37
7,37
246912000,37
377337000,37
211245200,37
211215130,37
636014262,36
244740172,36
538003778,36
457629000,36
577123000,36
777519104,36
710102039,36
247118900,36
244770722,36
219268000,36
565496000,36
563028790,36
245496000,36
413802200,36
710335000,36
457603000,36
244740120,36
710000294,36
577007000,36
253048000,36
215903000,36
710002780,36
408388000,36
710000840,36
1073741663,36
369970518,36
470381000,36
257158000,36
470759000,36
412450000,36
243601080,36
247209300,36
319317000,36
312428000,36
247237300,36
470004720,36
134416632,36
211999999,36
413426910,36
710999973,36
566474000,36
564654000,36
770576231,36
10,36
408310000,36
563822000,36
566449000,36
352003000,36
219000479,35
538070130,35
721421312,35
538004573,35
412388888,35
701006289,35
408576000,35
470740000,35
366828000,35
235830000,35
636091104,35
538003214,35
211513860,35
243601040,35
636015620,35
212046000,35
789010012,35
636014434,35
563021750,35
258859000,35
373416000,35
538005084,35
211175900,35
6365,35
408778000,35
563174000,35
787673736,35
412004321,35
235030795,35
413970000,35
258465000,35
416123456,35
416011802,35
211534760,35
408545000,35
230601000,35
533180004,35
236262000,35
373924000,35
247077500,35
312689000,35
999000003,35
303475200,35
351278000,35
667003341,35
566734000,35
162904474,35
408345000,35
408527000,35
503645300,35
563013830,35
470977000,35
470123456,35
565606000,35
567074000,35
412376680,35
273342600,35
412426570,35
721437696,35
4403004,35
566601000,35
563003780,35
710074200,34
470000003,34
219299000,34
636013471,34
408325000,34
408323000,34
710001000,34
563028230,34
408307000,34
211532870,34
470100001,34
710014950,34
412323648,34
211330370,34
354387000,34
470963000,34
841345260,34
338093255,34
244780806,34
244810347,34
710494000,34
195215126,34
166053554,34
565102000,34
710003090,34
412,34
566241000,34
413654822,34
235077315,34
565968000,34
636092559,34
687790719,34
1056964223,34
1030291456,34
357240000,34
319657000,34
211208430,34
243601032,34
244260959,34
636014263,34
244210466,34
325601000,34
636014621,34
244050811,34
218657000,34
244060567,34
271000000,34
211290770,34
224101930,34
470893000,34
